x,y,height,momentum_x,bathymetry
22025,22025,20.4007,-12.879,-20
66075,22025,187.991,-8.18044,-187.657
110125,22025,744.502,9.22882,-744.394
154175,22025,1215.94,16.0499,-1215.87
198225,22025,4390.23,17.1937,-4390.16
242275,22025,7045.38,18.7071,-7045.29
286325,22025,6552.36,20.8224,-6552.27
330375,22025,5817.33,23.4256,-5817.23
374425,22025,5806.96,26.1803,-5806.85
418475,22025,5572.03,28.7627,-5571.9
