x,y,height,momentum_x
0.025,0.025,7.26563,21.202
0.075,0.025,7.26533,21.2037
0.125,0.025,7.26514,21.2048
0.175,0.025,7.26503,21.2053
0.225,0.025,7.26499,21.2056
0.275,0.025,7.26499,21.2055
0.325,0.025,7.26503,21.2054
0.375,0.025,7.26508,21.205
0.425,0.025,7.26515,21.2047
0.475,0.025,7.26523,21.2042
0.525,0.025,7.26531,21.2038
0.575,0.025,7.26539,21.2034
0.625,0.025,7.26546,21.2029
0.675,0.025,7.26554,21.2025
0.725,0.025,7.26561,21.2021
0.775,0.025,7.26568,21.2017
0.825,0.025,7.26575,21.2014
0.875,0.025,7.26581,21.201
0.925,0.025,7.26587,21.2007
0.975,0.025,7.26592,21.2004
1.025,0.025,7.26598,21.2001
1.075,0.025,7.26602,21.1999
1.125,0.025,7.26607,21.1996
1.175,0.025,7.26611,21.1994
1.225,0.025,7.26616,21.1992
1.275,0.025,7.2662,21.199
1.325,0.025,7.26623,21.1988
1.375,0.025,7.26627,21.1986
1.425,0.025,7.2663,21.1984
1.475,0.025,7.26633,21.1982
1.525,0.025,7.26636,21.1981
1.575,0.025,7.26639,21.198
1.625,0.025,7.26642,21.1978
1.675,0.025,7.26644,21.1977
1.725,0.025,7.26647,21.1976
1.775,0.025,7.26649,21.1975
1.825,0.025,7.26651,21.1974
1.875,0.025,7.26654,21.1973
1.925,0.025,7.26656,21.1972
1.975,0.025,7.26658,21.1971
2.025,0.025,7.2666,21.1971
2.075,0.025,7.26661,21.197
2.125,0.025,7.26663,21.1969
2.175,0.025,7.26665,21.1969
2.225,0.025,7.26667,21.1968
2.275,0.025,7.26668,21.1968
2.325,0.025,7.2667,21.1968
2.375,0.025,7.26672,21.1967
2.425,0.025,7.26673,21.1967
2.475,0.025,7.26675,21.1967
2.525,0.025,7.26676,21.1967
2.575,0.025,7.26678,21.1967
2.625,0.025,7.26679,21.1967
2.675,0.025,7.26681,21.1967
2.725,0.025,7.26682,21.1967
2.775,0.025,7.26684,21.1967
2.825,0.025,7.26685,21.1967
2.875,0.025,7.26687,21.1967
2.925,0.025,7.26688,21.1968
2.975,0.025,7.26689,21.1968
3.025,0.025,7.26691,21.1968
3.075,0.025,7.26692,21.1969
3.125,0.025,7.26693,21.1969
3.175,0.025,7.26695,21.197
3.225,0.025,7.26696,21.197
3.275,0.025,7.26697,21.1971
3.325,0.025,7.26698,21.1972
3.375,0.025,7.267,21.1972
3.425,0.025,7.26701,21.1973
3.475,0.025,7.26702,21.1974
3.525,0.025,7.26704,21.1975
3.575,0.025,7.26705,21.1976
3.625,0.025,7.26706,21.1976
3.675,0.025,7.26708,21.1977
3.725,0.025,7.26709,21.1978
3.775,0.025,7.2671,21.1979
3.825,0.025,7.26712,21.198
3.875,0.025,7.26713,21.1981
3.925,0.025,7.26715,21.1982
3.975,0.025,7.26716,21.1983
4.025,0.025,7.26718,21.1984
4.075,0.025,7.26719,21.1985
4.125,0.025,7.26721,21.1986
4.175,0.025,7.26722,21.1988
4.225,0.025,7.26724,21.1989
4.275,0.025,7.26725,21.199
4.325,0.025,7.26727,21.1991
4.375,0.025,7.26728,21.1993
4.425,0.025,7.2673,21.1994
4.475,0.025,7.26731,21.1995
4.525,0.025,7.26733,21.1997
4.575,0.025,7.26735,21.1998
4.625,0.025,7.26736,21.2
4.675,0.025,7.26737,21.2001
4.725,0.025,7.26739,21.2003
4.775,0.025,7.2674,21.2004
4.825,0.025,7.26742,21.2006
4.875,0.025,7.26743,21.2007
4.925,0.025,7.26745,21.2009
4.975,0.025,7.26746,21.2011
5.025,0.025,7.26748,21.2012
5.075,0.025,7.26749,21.2014
5.125,0.025,7.26751,21.2016
5.175,0.025,7.26752,21.2017
5.225,0.025,7.26754,21.2019
5.275,0.025,7.26756,21.2021
5.325,0.025,7.26757,21.2023
5.375,0.025,7.26759,21.2025
5.425,0.025,7.2676,21.2026
5.475,0.025,7.26762,21.2028
5.525,0.025,7.26763,21.203
5.575,0.025,7.26764,21.2032
5.625,0.025,7.26765,21.2035
5.675,0.025,7.26765,21.2037
5.725,0.025,7.26765,21.204
5.775,0.025,7.26764,21.2043
5.825,0.025,7.26761,21.2048
5.875,0.025,7.26757,21.2052
5.925,0.025,7.26752,21.2058
5.975,0.025,7.26743,21.2065
6.025,0.025,7.26732,21.2074
6.075,0.025,7.26718,21.2085
6.125,0.025,7.267,21.2097
6.175,0.025,7.26677,21.2113
6.225,0.025,7.2665,21.213
6.275,0.025,7.26618,21.2151
6.325,0.025,7.2658,21.2174
6.375,0.025,7.26538,21.22
6.425,0.025,7.26491,21.2228
6.475,0.025,7.2644,21.2259
6.525,0.025,7.26385,21.2291
6.575,0.025,7.26328,21.2325
6.625,0.025,7.2627,21.236
6.675,0.025,7.26211,21.2394
6.725,0.025,7.26153,21.2428
6.775,0.025,7.26097,21.246
6.825,0.025,7.26045,21.2491
6.875,0.025,7.25997,21.252
6.925,0.025,7.25953,21.2545
6.975,0.025,7.25914,21.2568
7.025,0.025,7.25881,21.2588
7.075,0.025,7.25852,21.2605
7.125,0.025,7.25829,21.2619
7.175,0.025,7.2581,21.263
7.225,0.025,7.25795,21.2639
7.275,0.025,7.25784,21.2646
7.325,0.025,7.25775,21.2651
7.375,0.025,7.25769,21.2655
7.425,0.025,7.25764,21.2658
7.475,0.025,7.25761,21.266
7.525,0.025,7.25759,21.2661
7.575,0.025,7.25757,21.2662
7.625,0.025,7.25756,21.2663
7.675,0.025,7.25755,21.2663
7.725,0.025,7.25755,21.2663
7.775,0.025,7.25755,21.2662
7.825,0.025,7.25754,21.2662
7.875,0.025,7.25754,21.2662
7.925,0.025,7.25753,21.2661
7.975,0.025,7.25753,21.2661
8.025,0.025,7.25752,21.266
8.075,0.025,7.25752,21.266
8.125,0.025,7.25751,21.2659
8.175,0.025,7.25751,21.2659
8.225,0.025,7.2575,21.2658
8.275,0.025,7.2575,21.2658
8.325,0.025,7.25749,21.2657
8.375,0.025,7.25749,21.2657
8.425,0.025,7.25748,21.2656
8.475,0.025,7.25747,21.2656
8.525,0.025,7.25747,21.2655
8.575,0.025,7.25746,21.2654
8.625,0.025,7.25746,21.2654
8.675,0.025,7.25745,21.2653
8.725,0.025,7.25744,21.2652
8.775,0.025,7.25744,21.2652
8.825,0.025,7.25743,21.2651
8.875,0.025,7.25743,21.265
8.925,0.025,7.25742,21.265
8.975,0.025,7.25741,21.2649
9.025,0.025,7.25741,21.2648
9.075,0.025,7.2574,21.2648
9.125,0.025,7.25739,21.2647
9.175,0.025,7.25739,21.2646
9.225,0.025,7.25738,21.2646
9.275,0.025,7.25737,21.2645
9.325,0.025,7.25737,21.2644
9.375,0.025,7.25736,21.2643
9.425,0.025,7.25735,21.2643
9.475,0.025,7.25734,21.2642
9.525,0.025,7.25734,21.2641
9.575,0.025,7.25733,21.264
9.625,0.025,7.25732,21.2639
9.675,0.025,7.25732,21.2639
9.725,0.025,7.25731,21.2638
9.775,0.025,7.2573,21.2637
9.825,0.025,7.2573,21.2636
9.875,0.025,7.25729,21.2635
9.925,0.025,7.25728,21.2634
9.975,0.025,7.25727,21.2633
