x,y,height,momentum_x
0.025,0.025,7.26512,21.2048
0.075,0.025,7.26517,21.2046
0.125,0.025,7.26523,21.2042
0.175,0.025,7.26531,21.2038
0.225,0.025,7.26538,21.2034
0.275,0.025,7.26546,21.203
0.325,0.025,7.26553,21.2026
0.375,0.025,7.2656,21.2022
0.425,0.025,7.26567,21.2018
0.475,0.025,7.26574,21.2014
0.525,0.025,7.2658,21.2011
0.575,0.025,7.26586,21.2008
0.625,0.025,7.26591,21.2005
0.675,0.025,7.26597,21.2002
0.725,0.025,7.26602,21.1999
0.775,0.025,7.26606,21.1996
0.825,0.025,7.26611,21.1994
0.875,0.025,7.26615,21.1992
0.925,0.025,7.26619,21.1989
0.975,0.025,7.26622,21.1987
1.025,0.025,7.26626,21.1986
1.075,0.025,7.26629,21.1984
1.125,0.025,7.26632,21.1982
1.175,0.025,7.26635,21.198
1.225,0.025,7.26638,21.1979
1.275,0.025,7.26641,21.1978
1.325,0.025,7.26643,21.1976
1.375,0.025,7.26645,21.1975
1.425,0.025,7.26648,21.1974
1.475,0.025,7.2665,21.1973
1.525,0.025,7.26652,21.1971
1.575,0.025,7.26654,21.197
1.625,0.025,7.26656,21.1969
1.675,0.025,7.26657,21.1968
1.725,0.025,7.26659,21.1967
1.775,0.025,7.26661,21.1967
1.825,0.025,7.26662,21.1966
1.875,0.025,7.26663,21.1965
1.925,0.025,7.26665,21.1964
1.975,0.025,7.26666,21.1964
2.025,0.025,7.26667,21.1963
2.075,0.025,7.26669,21.1962
2.125,0.025,7.2667,21.1962
2.175,0.025,7.26671,21.1961
2.225,0.025,7.26673,21.1961
2.275,0.025,7.26674,21.196
2.325,0.025,7.26675,21.196
2.375,0.025,7.26676,21.196
2.425,0.025,7.26677,21.1959
2.475,0.025,7.26678,21.1959
2.525,0.025,7.26679,21.1959
2.575,0.025,7.2668,21.1959
2.625,0.025,7.2668,21.1958
2.675,0.025,7.26681,21.1958
2.725,0.025,7.26682,21.1958
2.775,0.025,7.26683,21.1958
2.825,0.025,7.26684,21.1958
2.875,0.025,7.26685,21.1958
2.925,0.025,7.26686,21.1958
2.975,0.025,7.26686,21.1958
3.025,0.025,7.26687,21.1958
3.075,0.025,7.26688,21.1958
3.125,0.025,7.26689,21.1959
3.175,0.025,7.26689,21.1959
3.225,0.025,7.2669,21.1959
3.275,0.025,7.26691,21.1959
3.325,0.025,7.26692,21.196
3.375,0.025,7.26693,21.196
3.425,0.025,7.26694,21.196
3.475,0.025,7.26694,21.1961
3.525,0.025,7.26695,21.1961
3.575,0.025,7.26696,21.1962
3.625,0.025,7.26697,21.1962
3.675,0.025,7.26698,21.1963
3.725,0.025,7.267,21.1963
3.775,0.025,7.26701,21.1964
3.825,0.025,7.26702,21.1964
3.875,0.025,7.26703,21.1965
3.925,0.025,7.26704,21.1966
3.975,0.025,7.26705,21.1966
4.025,0.025,7.26706,21.1967
4.075,0.025,7.26707,21.1968
4.125,0.025,7.26708,21.1969
4.175,0.025,7.26709,21.197
4.225,0.025,7.2671,21.1971
4.275,0.025,7.26711,21.1972
4.325,0.025,7.26712,21.1973
4.375,0.025,7.26713,21.1974
4.425,0.025,7.26714,21.1975
4.475,0.025,7.26715,21.1976
4.525,0.025,7.26716,21.1977
4.575,0.025,7.26717,21.1978
4.625,0.025,7.26719,21.198
4.675,0.025,7.2672,21.1981
4.725,0.025,7.26721,21.1982
4.775,0.025,7.26722,21.1983
4.825,0.025,7.26723,21.1984
4.875,0.025,7.26725,21.1986
4.925,0.025,7.26726,21.1987
4.975,0.025,7.26727,21.1989
5.025,0.025,7.26728,21.199
5.075,0.025,7.26729,21.1992
5.125,0.025,7.2673,21.1993
5.175,0.025,7.26731,21.1995
5.225,0.025,7.26732,21.1997
5.275,0.025,7.26732,21.1999
5.325,0.025,7.26731,21.2002
5.375,0.025,7.2673,21.2005
5.425,0.025,7.26728,21.2008
5.475,0.025,7.26725,21.2012
5.525,0.025,7.2672,21.2017
5.575,0.025,7.26713,21.2024
5.625,0.025,7.26703,21.2031
5.675,0.025,7.26691,21.204
5.725,0.025,7.26675,21.2052
5.775,0.025,7.26656,21.2065
5.825,0.025,7.26633,21.208
5.875,0.025,7.26605,21.2098
5.925,0.025,7.26573,21.2118
5.975,0.025,7.26536,21.2141
6.025,0.025,7.26495,21.2167
6.075,0.025,7.2645,21.2195
6.125,0.025,7.26401,21.2224
6.175,0.025,7.26349,21.2256
6.225,0.025,7.26295,21.2288
6.275,0.025,7.26239,21.2321
6.325,0.025,7.26184,21.2355
6.375,0.025,7.26129,21.2387
6.425,0.025,7.26076,21.2419
6.475,0.025,7.26026,21.2449
6.525,0.025,7.2598,21.2478
6.575,0.025,7.25937,21.2504
6.625,0.025,7.259,21.2527
6.675,0.025,7.25867,21.2548
6.725,0.025,7.25838,21.2566
6.775,0.025,7.25815,21.2582
6.825,0.025,7.25795,21.2595
6.875,0.025,7.2578,21.2606
6.925,0.025,7.25768,21.2615
6.975,0.025,7.25759,21.2623
7.025,0.025,7.25753,21.2629
7.075,0.025,7.25748,21.2634
7.125,0.025,7.25746,21.2638
7.175,0.025,7.25744,21.2641
7.225,0.025,7.25743,21.2644
7.275,0.025,7.25743,21.2646
7.325,0.025,7.25744,21.2648
7.375,0.025,7.25744,21.265
7.425,0.025,7.25745,21.2651
7.475,0.025,7.25746,21.2653
7.525,0.025,7.25748,21.2654
7.575,0.025,7.25748,21.2655
7.625,0.025,7.25749,21.2656
7.675,0.025,7.2575,21.2658
7.725,0.025,7.25751,21.2658
7.775,0.025,7.25752,21.2659
7.825,0.025,7.25752,21.266
7.875,0.025,7.25753,21.2661
7.925,0.025,7.25753,21.2661
7.975,0.025,7.25754,21.2662
8.025,0.025,7.25754,21.2662
8.075,0.025,7.25754,21.2663
8.125,0.025,7.25754,21.2663
8.175,0.025,7.25754,21.2663
8.225,0.025,7.25754,21.2663
8.275,0.025,7.25754,21.2663
8.325,0.025,7.25754,21.2663
8.375,0.025,7.25754,21.2663
8.425,0.025,7.25754,21.2663
8.475,0.025,7.25754,21.2663
8.525,0.025,7.25753,21.2663
8.575,0.025,7.25753,21.2662
8.625,0.025,7.25753,21.2662
8.675,0.025,7.25752,21.2661
8.725,0.025,7.25752,21.2661
8.775,0.025,7.25751,21.2661
8.825,0.025,7.25751,21.266
8.875,0.025,7.2575,21.266
8.925,0.025,7.2575,21.2659
8.975,0.025,7.25749,21.2658
9.025,0.025,7.25749,21.2658
9.075,0.025,7.25748,21.2657
9.125,0.025,7.25747,21.2657
9.175,0.025,7.25747,21.2656
9.225,0.025,7.25746,21.2655
9.275,0.025,7.25746,21.2655
9.325,0.025,7.25745,21.2654
9.375,0.025,7.25745,21.2654
9.425,0.025,7.25744,21.2653
9.475,0.025,7.25743,21.2652
9.525,0.025,7.25743,21.2652
9.575,0.025,7.25742,21.2651
9.625,0.025,7.25742,21.265
9.675,0.025,7.25741,21.2649
9.725,0.025,7.2574,21.2649
9.775,0.025,7.2574,21.2648
9.825,0.025,7.25739,21.2647
9.875,0.025,7.25739,21.2646
9.925,0.025,7.25738,21.2646
9.975,0.025,7.25737,21.2645
