x,y,height,momentum_x
0.025,0.025,9.99997,0.000303317
0.075,0.025,9.99994,0.00060139
0.125,0.025,9.99988,0.00116537
0.175,0.025,9.99978,0.00218307
0.225,0.025,9.9996,0.00395402
0.275,0.025,9.9993,0.00696845
0.325,0.025,9.99879,0.0119551
0.375,0.025,9.99799,0.0199512
0.425,0.025,9.99673,0.0323816
0.475,0.025,9.99483,0.0511434
0.525,0.025,9.99205,0.0786553
0.575,0.025,9.98809,0.117837
0.625,0.025,9.9826,0.172058
0.675,0.025,9.97521,0.245033
0.725,0.025,9.96551,0.340627
0.775,0.025,9.95311,0.462624
0.825,0.025,9.93764,0.614465
0.875,0.025,9.9188,0.799005
0.925,0.025,9.89633,1.01833
0.975,0.025,9.87007,1.27364
1.025,0.025,9.83995,1.56522
1.075,0.025,9.80597,1.89243
1.125,0.025,9.76823,2.25385
1.175,0.025,9.72688,2.64743
1.225,0.025,9.6821,3.0706
1.275,0.025,9.63415,3.52045
1.325,0.025,9.58326,3.99393
1.375,0.025,9.52972,4.4879
1.425,0.025,9.47379,4.99926
1.475,0.025,9.41572,5.52505
1.525,0.025,9.35576,6.06246
1.575,0.025,9.29416,6.60889
1.625,0.025,9.23113,7.16193
1.675,0.025,9.16687,7.7194
1.725,0.025,9.10156,8.27934
1.775,0.025,9.03539,8.83997
1.825,0.025,8.9685,9.39968
1.875,0.025,8.90104,9.95706
1.925,0.025,8.83314,10.5108
1.975,0.025,8.76493,11.0598
2.025,0.025,8.69652,11.6029
2.075,0.025,8.62803,12.1393
2.125,0.025,8.55955,12.6681
2.175,0.025,8.49119,13.1884
2.225,0.025,8.42305,13.6995
2.275,0.025,8.35524,14.2007
2.325,0.025,8.28787,14.6913
2.375,0.025,8.22105,15.1705
2.425,0.025,8.15489,15.6379
2.475,0.025,8.08953,16.0925
2.525,0.025,8.02511,16.5337
2.575,0.025,7.96179,16.9607
2.625,0.025,7.89974,17.3726
2.675,0.025,7.83916,17.7687
2.725,0.025,7.78026,18.1478
2.775,0.025,7.7233,18.5089
2.825,0.025,7.66853,18.851
2.875,0.025,7.61627,19.1727
2.925,0.025,7.56682,19.4729
2.975,0.025,7.5205,19.7502
3.025,0.025,7.47767,20.0035
3.075,0.025,7.43861,20.2317
3.125,0.025,7.40362,20.4339
3.175,0.025,7.3729,20.6098
3.225,0.025,7.34654,20.7593
3.275,0.025,7.32454,20.8832
3.325,0.025,7.30673,20.9828
3.375,0.025,7.29281,21.0603
3.425,0.025,7.28235,21.1182
3.475,0.025,7.27484,21.1596
3.525,0.025,7.26972,21.1877
3.575,0.025,7.26644,21.2056
3.625,0.025,7.26448,21.2162
3.675,0.025,7.26345,21.2216
3.725,0.025,7.26301,21.2239
3.775,0.025,7.26292,21.2241
3.825,0.025,7.26303,21.2233
3.875,0.025,7.26323,21.222
3.925,0.025,7.26346,21.2204
3.975,0.025,7.26369,21.2189
4.025,0.025,7.26391,21.2174
4.075,0.025,7.26412,21.216
4.125,0.025,7.2643,21.2147
4.175,0.025,7.26447,21.2135
4.225,0.025,7.26463,21.2124
4.275,0.025,7.26477,21.2113
4.325,0.025,7.26489,21.2104
4.375,0.025,7.26501,21.2094
4.425,0.025,7.26512,21.2086
4.475,0.025,7.26521,21.2077
4.525,0.025,7.2653,21.2069
4.575,0.025,7.26538,21.2062
4.625,0.025,7.26546,21.2054
4.675,0.025,7.26553,21.2048
4.725,0.025,7.26559,21.2041
4.775,0.025,7.26565,21.2034
4.825,0.025,7.2657,21.2028
4.875,0.025,7.26574,21.2022
4.925,0.025,7.26579,21.2016
4.975,0.025,7.26582,21.201
5.025,0.025,7.26586,21.2005
5.075,0.025,7.26589,21.1999
5.125,0.025,7.26592,21.1994
5.175,0.025,7.26594,21.1989
5.225,0.025,7.26597,21.1984
5.275,0.025,7.26598,21.1979
5.325,0.025,7.266,21.1974
5.375,0.025,7.26601,21.1969
5.425,0.025,7.26602,21.1964
5.475,0.025,7.26603,21.1959
5.525,0.025,7.26604,21.1954
5.575,0.025,7.26604,21.1949
5.625,0.025,7.26604,21.1944
5.675,0.025,7.26604,21.194
5.725,0.025,7.26604,21.1935
5.775,0.025,7.26603,21.193
5.825,0.025,7.26603,21.1925
5.875,0.025,7.26602,21.192
5.925,0.025,7.26601,21.1915
5.975,0.025,7.266,21.191
6.025,0.025,7.26598,21.1905
6.075,0.025,7.26596,21.19
6.125,0.025,7.26595,21.1895
6.175,0.025,7.26593,21.189
6.225,0.025,7.2659,21.1885
6.275,0.025,7.26588,21.1879
6.325,0.025,7.26586,21.1874
6.375,0.025,7.26583,21.1869
6.425,0.025,7.2658,21.1863
6.475,0.025,7.26577,21.1857
6.525,0.025,7.26574,21.1851
6.575,0.025,7.2657,21.1845
6.625,0.025,7.26566,21.1839
6.675,0.025,7.26563,21.1833
6.725,0.025,7.26558,21.1827
6.775,0.025,7.26554,21.182
6.825,0.025,7.26549,21.1813
6.875,0.025,7.26545,21.1806
6.925,0.025,7.2654,21.1799
6.975,0.025,7.26534,21.1791
7.025,0.025,7.26529,21.1784
7.075,0.025,7.26523,21.1776
7.125,0.025,7.26517,21.1768
7.175,0.025,7.2651,21.1759
7.225,0.025,7.26503,21.175
7.275,0.025,7.26496,21.1741
7.325,0.025,7.26489,21.1731
7.375,0.025,7.26481,21.1721
7.425,0.025,7.26472,21.1711
7.475,0.025,7.26463,21.17
7.525,0.025,7.26454,21.1688
7.575,0.025,7.26444,21.1676
7.625,0.025,7.26434,21.1664
7.675,0.025,7.26422,21.165
7.725,0.025,7.2641,21.1636
7.775,0.025,7.26398,21.1621
7.825,0.025,7.26384,21.1604
7.875,0.025,7.26368,21.1585
7.925,0.025,7.26349,21.1563
7.975,0.025,7.26323,21.1534
8.025,0.025,7.26285,21.1489
8.075,0.025,7.26216,21.1411
8.125,0.025,7.26081,21.1257
8.175,0.025,7.25793,21.093
8.225,0.025,7.25158,21.021
8.275,0.025,7.23743,20.8607
8.325,0.025,7.20601,20.5061
8.375,0.025,7.13768,19.7409
8.425,0.025,6.99638,18.1831
8.475,0.025,6.73241,15.3632
8.525,0.025,6.32189,11.2142
8.575,0.025,5.8392,6.71581
