x,y,height,momentum_x
0.025,0.025,10,2.49734e-21
0.075,0.025,10,7.03093e-20
0.125,0.025,10,2.44546e-18
0.175,0.025,10,7.79167e-17
0.225,0.025,10,2.47938e-15
0.275,0.025,10,6.64063e-14
0.325,0.025,10,1.95036e-12
0.375,0.025,10,4.72085e-11
0.425,0.025,10,1.44641e-09
0.475,0.025,10,3.1647e-08
0.525,0.025,10,1.09514e-06
0.575,0.025,10,1.04274e-05
0.625,0.025,10,2.90703e-05
0.675,0.025,9.99999,7.89225e-05
0.725,0.025,9.99998,0.000191018
0.775,0.025,9.99996,0.000410679
0.825,0.025,9.99991,0.000861691
0.875,0.025,9.99982,0.0017467
0.925,0.025,9.99966,0.00341023
0.975,0.025,9.99935,0.00642954
1.025,0.025,9.99882,0.0117012
1.075,0.025,9.99792,0.0205992
1.125,0.025,9.99646,0.035094
1.175,0.025,9.99416,0.0578506
1.225,0.025,9.99067,0.0923441
1.275,0.025,9.98556,0.142839
1.325,0.025,9.97832,0.214266
1.375,0.025,9.96841,0.311994
1.425,0.025,9.95526,0.441493
1.475,0.025,9.93831,0.607895
1.525,0.025,9.9171,0.815546
1.575,0.025,9.89125,1.0677
1.625,0.025,9.86051,1.36626
1.675,0.025,9.82476,1.71162
1.725,0.025,9.78401,2.10283
1.775,0.025,9.73841,2.53767
1.825,0.025,9.68819,3.01296
1.875,0.025,9.63364,3.5248
1.925,0.025,9.57512,4.06886
1.975,0.025,9.51301,4.6406
2.025,0.025,9.44769,5.23548
2.075,0.025,9.37954,5.84914
2.125,0.025,9.30893,6.47743
2.175,0.025,9.23619,7.11652
2.225,0.025,9.16166,7.76291
2.275,0.025,9.08563,8.41343
2.325,0.025,9.00837,9.06524
2.375,0.025,8.93012,9.71581
2.425,0.025,8.85112,10.3629
2.475,0.025,8.77158,11.0044
2.525,0.025,8.6917,11.6386
2.575,0.025,8.61166,12.2638
2.625,0.025,8.53164,12.8785
2.675,0.025,8.45184,13.4815
2.725,0.025,8.37242,14.0713
2.775,0.025,8.29356,14.6468
2.825,0.025,8.21546,15.2067
2.875,0.025,8.13833,15.75
2.925,0.025,8.06238,16.2754
2.975,0.025,7.98787,16.7816
3.025,0.025,7.91507,17.2673
3.075,0.025,7.84428,17.7311
3.125,0.025,7.77586,18.1715
3.175,0.025,7.71018,18.5868
3.225,0.025,7.64768,18.9753
3.275,0.025,7.5888,19.3353
3.325,0.025,7.53403,19.6648
3.375,0.025,7.48386,19.9623
3.425,0.025,7.43872,20.2262
3.475,0.025,7.399,20.4556
3.525,0.025,7.36494,20.6501
3.575,0.025,7.33661,20.8103
3.625,0.025,7.31388,20.9378
3.675,0.025,7.29638,21.0354
3.725,0.025,7.28351,21.1066
3.775,0.025,7.27456,21.156
3.825,0.025,7.2687,21.1881
3.875,0.025,7.26516,21.2073
3.925,0.025,7.26322,21.2177
3.975,0.025,7.26232,21.2223
4.025,0.025,7.26204,21.2236
4.075,0.025,7.2621,21.2229
4.125,0.025,7.26231,21.2214
4.175,0.025,7.26258,21.2196
4.225,0.025,7.26286,21.2177
4.275,0.025,7.26312,21.2159
4.325,0.025,7.26336,21.2142
4.375,0.025,7.26358,21.2126
4.425,0.025,7.26377,21.2112
4.475,0.025,7.26395,21.2098
4.525,0.025,7.2641,21.2086
4.575,0.025,7.26424,21.2074
4.625,0.025,7.26437,21.2062
4.675,0.025,7.26448,21.2052
4.725,0.025,7.26459,21.2042
4.775,0.025,7.26468,21.2032
4.825,0.025,7.26477,21.2023
4.875,0.025,7.26485,21.2014
4.925,0.025,7.26492,21.2005
4.975,0.025,7.26498,21.1997
5.025,0.025,7.26503,21.1989
5.075,0.025,7.26508,21.1981
5.125,0.025,7.26513,21.1973
5.175,0.025,7.26517,21.1966
5.225,0.025,7.2652,21.1958
5.275,0.025,7.26523,21.1951
5.325,0.025,7.26525,21.1944
5.375,0.025,7.26527,21.1937
5.425,0.025,7.26529,21.193
5.475,0.025,7.2653,21.1923
5.525,0.025,7.26531,21.1916
5.575,0.025,7.26532,21.1909
5.625,0.025,7.26532,21.1902
5.675,0.025,7.26532,21.1895
5.725,0.025,7.26531,21.1888
5.775,0.025,7.2653,21.1881
5.825,0.025,7.26529,21.1874
5.875,0.025,7.26528,21.1867
5.925,0.025,7.26526,21.186
5.975,0.025,7.26524,21.1852
6.025,0.025,7.26522,21.1845
6.075,0.025,7.26519,21.1837
6.125,0.025,7.26516,21.183
6.175,0.025,7.26512,21.1822
6.225,0.025,7.26509,21.1814
6.275,0.025,7.26505,21.1806
6.325,0.025,7.265,21.1797
6.375,0.025,7.26496,21.1788
6.425,0.025,7.26491,21.178
6.475,0.025,7.26485,21.177
6.525,0.025,7.26479,21.1761
6.575,0.025,7.26473,21.1751
6.625,0.025,7.26467,21.1741
6.675,0.025,7.26459,21.173
6.725,0.025,7.26452,21.1719
6.775,0.025,7.26444,21.1708
6.825,0.025,7.26435,21.1696
6.875,0.025,7.26426,21.1683
6.925,0.025,7.26416,21.167
6.975,0.025,7.26406,21.1656
7.025,0.025,7.26395,21.1642
7.075,0.025,7.26382,21.1626
7.125,0.025,7.2637,21.161
7.175,0.025,7.26356,21.1593
7.225,0.025,7.2634,21.1574
7.275,0.025,7.26324,21.1553
7.325,0.025,7.26304,21.1529
7.375,0.025,7.26279,21.15
7.425,0.025,7.26243,21.1458
7.475,0.025,7.26184,21.1389
7.525,0.025,7.2607,21.1259
7.575,0.025,7.25832,21.0988
7.625,0.025,7.25308,21.0393
7.675,0.025,7.24133,20.9061
7.725,0.025,7.21501,20.6087
7.775,0.025,7.15709,19.9586
7.825,0.025,7.03513,18.608
7.875,0.025,6.80032,16.0784
7.925,0.025,6.4172,12.1524
7.975,0.025,5.93617,7.5861
8.025,0.025,5.50498,3.8578
8.075,0.025,5.22934,1.67624
8.125,0.025,5.09343,0.66634
8.175,0.025,5.03601,0.253988
8.225,0.025,5.01351,0.0948965
8.275,0.025,5.005,0.0350386
8.325,0.025,5.00183,0.0128118
8.375,0.025,5.00066,0.00463701
8.425,0.025,5.00024,0.00165814
8.475,0.025,5.00008,0.000584457
8.525,0.025,5.00003,0.00020122
8.575,0.025,5.00001,6.5933e-05
8.625,0.025,5,2.00241e-05
8.675,0.025,5,4.65331e-06
8.725,0.025,5,3.34697e-07
8.775,0.025,5,1.40418e-08
8.825,0.025,5,5.91437e-10
8.875,0.025,5,2.49048e-11
8.925,0.025,5,1.04861e-12
8.975,0.025,5,4.44961e-14
9.025,0.025,5,1.90454e-15
9.075,0.025,5,8.18978e-17
9.125,0.025,5,3.50588e-18
9.175,0.025,5,1.48311e-19
9.225,0.025,5,6.2055e-21
9.275,0.025,5,2.58527e-22
9.325,0.025,5,1.07653e-23
9.375,0.025,5,4.47896e-25
9.425,0.025,5,1.86085e-26
9.475,0.025,5,7.71273e-28
9.525,0.025,5,3.1846e-29
9.575,0.025,5,1.30756e-30
9.625,0.025,5,5.32707e-32
9.675,0.025,5,2.14796e-33
9.725,0.025,5,8.54608e-35
9.775,0.025,5,3.34265e-36
9.825,0.025,5,1.27915e-37
9.875,0.025,5,4.76014e-39
9.925,0.025,5,1.71035e-40
9.975,0.025,5,6.08444e-42
