x,y,height,momentum_x
0.025,0.025,10,0
0.075,0.025,10,0
0.125,0.025,10,0
0.175,0.025,10,7.00649e-45
0.225,0.025,10,6.23578e-43
0.275,0.025,10,9.05113e-41
0.325,0.025,10,1.01392e-38
0.375,0.025,10,8.63764e-37
0.425,0.025,10,6.09415e-35
0.475,0.025,10,3.85368e-33
0.525,0.025,10,2.30496e-31
0.575,0.025,10,1.34578e-29
0.625,0.025,10,7.78969e-28
0.675,0.025,10,4.43225e-26
0.725,0.025,10,2.50386e-24
0.775,0.025,10,1.4228e-22
0.825,0.025,10,8.14443e-21
0.875,0.025,10,3.32545e-19
0.925,0.025,10,1.17691e-17
0.975,0.025,10,4.80527e-16
1.025,0.025,10,1.53311e-14
1.075,0.025,10,4.97577e-13
1.125,0.025,10,2.18085e-11
1.175,0.025,10,5.90827e-10
1.225,0.025,10,2.00932e-08
1.275,0.025,10,4.19444e-07
1.325,0.025,10,6.46723e-06
1.375,0.025,10,2.7742e-05
1.425,0.025,9.99999,8.06901e-05
1.475,0.025,9.99998,0.000203633
1.525,0.025,9.99995,0.000481852
1.575,0.025,9.99989,0.00110529
1.625,0.025,9.99976,0.00241605
1.675,0.025,9.99949,0.00504287
1.725,0.025,9.99898,0.0100694
1.775,0.025,9.99806,0.0192543
1.825,0.025,9.99644,0.035294
1.875,0.025,9.99373,0.0620548
1.925,0.025,9.98941,0.104749
1.975,0.025,9.98282,0.16993
2.025,0.025,9.97315,0.265272
2.075,0.025,9.95957,0.399095
2.125,0.025,9.94119,0.579612
2.175,0.025,9.91724,0.814103
2.225,0.025,9.88708,1.1082
2.275,0.025,9.85026,1.46528
2.325,0.025,9.80658,1.88622
2.375,0.025,9.75606,2.36945
2.425,0.025,9.69892,2.91128
2.475,0.025,9.63555,3.50638
2.525,0.025,9.56645,4.14832
2.575,0.025,9.49218,4.83005
2.625,0.025,9.41335,5.5444
2.675,0.025,9.33056,6.28435
2.725,0.025,9.24439,7.04325
2.775,0.025,9.15539,7.81498
2.825,0.025,9.06408,8.594
2.875,0.025,8.97091,9.37531
2.925,0.025,8.87634,10.1545
2.975,0.025,8.78076,10.9277
3.025,0.025,8.68454,11.6914
3.075,0.025,8.58804,12.4424
3.125,0.025,8.49161,13.1781
3.175,0.025,8.39559,13.8958
3.225,0.025,8.30031,14.5931
3.275,0.025,8.20616,15.2677
3.325,0.025,8.11351,15.9174
3.375,0.025,8.02279,16.5399
3.425,0.025,7.93447,17.1328
3.475,0.025,7.8491,17.6937
3.525,0.025,7.76725,18.22
3.575,0.025,7.68961,18.7089
3.625,0.025,7.61688,19.1577
3.675,0.025,7.54985,19.5634
3.725,0.025,7.48926,19.9236
3.775,0.025,7.43581,20.2361
3.825,0.025,7.39004,20.4999
3.875,0.025,7.35222,20.715
3.925,0.025,7.32228,20.8836
3.975,0.025,7.29973,21.0094
4.025,0.025,7.28373,21.098
4.075,0.025,7.27313,21.1564
4.125,0.025,7.26666,21.1917
4.175,0.025,7.26311,21.2108
4.225,0.025,7.26143,21.2196
4.275,0.025,7.26086,21.2223
4.325,0.025,7.26085,21.2218
4.375,0.025,7.2611,21.2199
4.425,0.025,7.26144,21.2176
4.475,0.025,7.26177,21.2152
4.525,0.025,7.26209,21.2129
4.575,0.025,7.26237,21.2108
4.625,0.025,7.26261,21.2088
4.675,0.025,7.26283,21.207
4.725,0.025,7.26303,21.2053
4.775,0.025,7.2632,21.2038
4.825,0.025,7.26335,21.2023
4.875,0.025,7.26348,21.2009
4.925,0.025,7.2636,21.1995
4.975,0.025,7.26371,21.1982
5.025,0.025,7.2638,21.197
5.075,0.025,7.26389,21.1958
