x,y,height,momentum_x
0.025,0.025,8.30783,14.5385
0.075,0.025,8.2686,14.8227
0.125,0.025,8.22954,15.1032
0.175,0.025,8.19067,15.3798
0.225,0.025,8.15201,15.6524
0.275,0.025,8.11358,15.9211
0.325,0.025,8.07541,16.1855
0.375,0.025,8.03751,16.4456
0.425,0.025,7.99992,16.7013
0.475,0.025,7.96266,16.9524
0.525,0.025,7.92577,17.1988
0.575,0.025,7.88927,17.4402
0.625,0.025,7.85321,17.6767
0.675,0.025,7.81763,17.9078
0.725,0.025,7.78258,18.1335
0.775,0.025,7.7481,18.3534
0.825,0.025,7.71424,18.5674
0.875,0.025,7.68108,18.7752
0.925,0.025,7.64868,18.9764
0.975,0.025,7.6171,19.1708
1.025,0.025,7.58644,19.358
1.075,0.025,7.55676,19.5376
1.125,0.025,7.52816,19.7093
1.175,0.025,7.50074,19.8726
1.225,0.025,7.47458,20.0272
1.275,0.025,7.44978,20.1727
1.325,0.025,7.42645,20.3087
1.375,0.025,7.40465,20.4349
1.425,0.025,7.38449,20.5509
1.475,0.025,7.36602,20.6566
1.525,0.025,7.34929,20.7518
1.575,0.025,7.33432,20.8366
1.625,0.025,7.32113,20.9111
1.675,0.025,7.30967,20.9755
1.725,0.025,7.29989,21.0304
1.775,0.025,7.29169,21.0763
1.825,0.025,7.28495,21.1139
1.875,0.025,7.27954,21.1441
1.925,0.025,7.2753,21.1678
1.975,0.025,7.27206,21.1859
2.025,0.025,7.26966,21.1993
2.075,0.025,7.26795,21.2089
2.125,0.025,7.26677,21.2155
2.175,0.025,7.26601,21.2198
2.225,0.025,7.26555,21.2224
2.275,0.025,7.26531,21.2238
2.325,0.025,7.26523,21.2243
2.375,0.025,7.26524,21.2242
2.425,0.025,7.26531,21.2238
2.475,0.025,7.26542,21.2232
2.525,0.025,7.26555,21.2225
2.575,0.025,7.26568,21.2217
2.625,0.025,7.26582,21.221
2.675,0.025,7.26594,21.2202
2.725,0.025,7.26606,21.2195
2.775,0.025,7.26618,21.2188
2.825,0.025,7.26628,21.2182
2.875,0.025,7.26638,21.2176
2.925,0.025,7.26647,21.217
2.975,0.025,7.26655,21.2165
3.025,0.025,7.26663,21.2159
3.075,0.025,7.2667,21.2155
3.125,0.025,7.26677,21.215
3.175,0.025,7.26683,21.2146
3.225,0.025,7.26689,21.2142
3.275,0.025,7.26695,21.2138
3.325,0.025,7.267,21.2134
3.375,0.025,7.26705,21.213
3.425,0.025,7.26709,21.2127
3.475,0.025,7.26714,21.2124
3.525,0.025,7.26717,21.2121
3.575,0.025,7.26721,21.2118
3.625,0.025,7.26725,21.2115
3.675,0.025,7.26728,21.2112
3.725,0.025,7.26731,21.2109
3.775,0.025,7.26734,21.2107
3.825,0.025,7.26736,21.2104
3.875,0.025,7.26739,21.2102
3.925,0.025,7.26741,21.21
3.975,0.025,7.26743,21.2097
4.025,0.025,7.26745,21.2095
4.075,0.025,7.26747,21.2093
4.125,0.025,7.26749,21.2091
4.175,0.025,7.26751,21.2089
4.225,0.025,7.26752,21.2087
4.275,0.025,7.26753,21.2085
4.325,0.025,7.26755,21.2083
4.375,0.025,7.26756,21.2082
4.425,0.025,7.26757,21.208
4.475,0.025,7.26758,21.2078
4.525,0.025,7.26759,21.2077
4.575,0.025,7.2676,21.2075
4.625,0.025,7.2676,21.2073
4.675,0.025,7.26761,21.2072
4.725,0.025,7.26762,21.207
4.775,0.025,7.26762,21.2069
4.825,0.025,7.26763,21.2067
4.875,0.025,7.26763,21.2066
4.925,0.025,7.26764,21.2064
4.975,0.025,7.26764,21.2063
5.025,0.025,7.26764,21.2061
5.075,0.025,7.26764,21.206
5.125,0.025,7.26764,21.2059
5.175,0.025,7.26765,21.2057
5.225,0.025,7.26765,21.2056
5.275,0.025,7.26765,21.2054
5.325,0.025,7.26765,21.2053
5.375,0.025,7.26765,21.2052
5.425,0.025,7.26765,21.205
5.475,0.025,7.26764,21.2049
5.525,0.025,7.26764,21.2048
5.575,0.025,7.26764,21.2046
5.625,0.025,7.26764,21.2045
5.675,0.025,7.26763,21.2044
5.725,0.025,7.26763,21.2042
5.775,0.025,7.26763,21.2041
5.825,0.025,7.26762,21.204
5.875,0.025,7.26761,21.2039
5.925,0.025,7.26761,21.2037
5.975,0.025,7.2676,21.2036
6.025,0.025,7.2676,21.2035
6.075,0.025,7.26759,21.2033
6.125,0.025,7.26759,21.2032
6.175,0.025,7.26758,21.2031
6.225,0.025,7.26757,21.2029
6.275,0.025,7.26757,21.2028
6.325,0.025,7.26756,21.2026
6.375,0.025,7.26756,21.2025
6.425,0.025,7.26755,21.2023
6.475,0.025,7.26754,21.2022
6.525,0.025,7.26753,21.2021
6.575,0.025,7.26752,21.2019
6.625,0.025,7.26751,21.2018
6.675,0.025,7.26751,21.2016
6.725,0.025,7.2675,21.2015
6.775,0.025,7.26749,21.2013
6.825,0.025,7.26748,21.2012
6.875,0.025,7.26747,21.2011
6.925,0.025,7.26746,21.2009
6.975,0.025,7.26745,21.2007
7.025,0.025,7.26744,21.2006
7.075,0.025,7.26743,21.2004
7.125,0.025,7.26741,21.2003
7.175,0.025,7.2674,21.2001
7.225,0.025,7.26739,21.1999
7.275,0.025,7.26738,21.1998
7.325,0.025,7.26736,21.1996
7.375,0.025,7.26735,21.1995
7.425,0.025,7.26734,21.1993
7.475,0.025,7.26732,21.1991
7.525,0.025,7.26731,21.199
7.575,0.025,7.26729,21.1988
7.625,0.025,7.26728,21.1986
7.675,0.025,7.26726,21.1984
7.725,0.025,7.26725,21.1982
7.775,0.025,7.26723,21.1981
7.825,0.025,7.26722,21.1979
7.875,0.025,7.2672,21.1977
7.925,0.025,7.26718,21.1975
7.975,0.025,7.26717,21.1973
8.025,0.025,7.26715,21.1971
8.075,0.025,7.26713,21.1969
8.125,0.025,7.26711,21.1967
8.175,0.025,7.2671,21.1964
8.225,0.025,7.26708,21.1962
8.275,0.025,7.26706,21.196
8.325,0.025,7.26704,21.1958
8.375,0.025,7.26702,21.1956
8.425,0.025,7.267,21.1953
8.475,0.025,7.26697,21.1951
8.525,0.025,7.26693,21.195
8.575,0.025,7.26688,21.1949
8.625,0.025,7.26679,21.195
8.675,0.025,7.26666,21.1954
8.725,0.025,7.26646,21.1961
8.775,0.025,7.26615,21.1974
8.825,0.025,7.2657,21.1995
8.875,0.025,7.26509,21.2025
8.925,0.025,7.26429,21.2064
8.975,0.025,7.26333,21.2113
9.025,0.025,7.26224,21.2169
9.075,0.025,7.26108,21.2229
9.125,0.025,7.25993,21.2288
9.175,0.025,7.25886,21.2342
9.225,0.025,7.25795,21.2387
9.275,0.025,7.25723,21.2422
9.325,0.025,7.2567,21.2446
9.375,0.025,7.25634,21.2461
9.425,0.025,7.25611,21.2468
9.475,0.025,7.25597,21.247
9.525,0.025,7.25589,21.2469
9.575,0.025,7.25583,21.2467
9.625,0.025,7.25579,21.2463
9.675,0.025,7.25575,21.2459
9.725,0.025,7.25571,21.2455
9.775,0.025,7.25567,21.2451
9.825,0.025,7.25563,21.2446
9.875,0.025,7.25559,21.2442
9.925,0.025,7.25555,21.2437
9.975,0.025,7.25551,21.2432
