x,y,height,momentum_x
0.025,0.025,10,0
0.075,0.025,10,0
0.125,0.025,10,0
0.175,0.025,10,0
0.225,0.025,10,0
0.275,0.025,10,0
0.325,0.025,10,0
0.375,0.025,10,0
0.425,0.025,10,0
0.475,0.025,10,0
0.525,0.025,10,0
0.575,0.025,10,0
0.625,0.025,10,0
0.675,0.025,10,0
0.725,0.025,10,0
0.775,0.025,10,0
0.825,0.025,10,0
0.875,0.025,10,0
0.925,0.025,10,0
0.975,0.025,10,0
1.025,0.025,10,0
1.075,0.025,10,0
1.125,0.025,10,0
1.175,0.025,10,0
1.225,0.025,10,0
1.275,0.025,10,5.49471e-38
1.325,0.025,10,5.28959e-35
1.375,0.025,10,1.63967e-32
1.425,0.025,10,4.14373e-30
1.475,0.025,10,4.83144e-28
1.525,0.025,10,7.27648e-26
1.575,0.025,10,7.14769e-24
1.625,0.025,10,5.19499e-22
1.675,0.025,10,3.26139e-20
1.725,0.025,10,1.93125e-18
1.775,0.025,10,1.12049e-16
1.825,0.025,10,6.46917e-15
1.875,0.025,10,3.73239e-13
1.925,0.025,10,2.0796e-11
1.975,0.025,10,1.17605e-09
2.025,0.025,10,6.74765e-08
2.075,0.025,10,3.88264e-06
2.125,0.025,10,1.3655e-05
2.175,0.025,10,4.89634e-05
2.225,0.025,9.99998,0.000151687
2.275,0.025,9.99996,0.000425821
2.325,0.025,9.99989,0.00113944
2.375,0.025,9.99971,0.00284448
2.425,0.025,9.99933,0.00664441
2.475,0.025,9.99852,0.0146161
2.525,0.025,9.99694,0.0303214
2.575,0.025,9.994,0.0594003
2.625,0.025,9.98888,0.11006
2.675,0.025,9.98046,0.193198
2.725,0.025,9.9674,0.321992
2.775,0.025,9.9482,0.510775
2.825,0.025,9.92141,0.773329
2.875,0.025,9.88575,1.12101
2.925,0.025,9.84032,1.56114
2.975,0.025,9.78465,2.09608
3.025,0.025,9.71875,2.72325
3.075,0.025,9.64302,3.43572
3.125,0.025,9.55819,4.22336
3.175,0.025,9.4652,5.07407
3.225,0.025,9.36509,5.97496
3.275,0.025,9.25896,6.91319
3.325,0.025,9.14786,7.8766
3.375,0.025,9.0328,8.85407
3.425,0.025,8.91473,9.83558
3.475,0.025,8.79452,10.8123
3.525,0.025,8.67299,11.7764
3.575,0.025,8.55092,12.7211
3.625,0.025,8.42908,13.6402
3.675,0.025,8.30824,14.5281
3.725,0.025,8.18919,15.3796
3.775,0.025,8.0728,16.1897
3.825,0.025,7.96001,16.9535
3.875,0.025,7.8519,17.6658
3.925,0.025,7.74966,18.3217
3.975,0.025,7.65459,18.9157
4.025,0.025,7.56811,19.443
4.075,0.025,7.49157,19.8991
4.125,0.025,7.4262,20.2808
4.175,0.025,7.37277,20.5873
4.225,0.025,7.33143,20.821
4.275,0.025,7.30151,20.9881
4.325,0.025,7.28153,21.0986
4.375,0.025,7.26942,21.165
4.425,0.025,7.26292,21.2001
4.475,0.025,7.25999,21.2155
4.525,0.025,7.25904,21.2199
4.575,0.025,7.25903,21.2191
4.625,0.025,7.25939,21.2163
4.675,0.025,7.25983,21.2129
4.725,0.025,7.26025,21.2096
4.775,0.025,7.26062,21.2066
4.825,0.025,7.26094,21.2038
4.875,0.025,7.26121,21.2013
4.925,0.025,7.26145,21.1989
4.975,0.025,7.26165,21.1966
5.025,0.025,7.26182,21.1945
5.075,0.025,7.26197,21.1924
5.125,0.025,7.2621,21.1904
5.175,0.025,7.2622,21.1885
5.225,0.025,7.26229,21.1866
5.275,0.025,7.26236,21.1848
5.325,0.025,7.26241,21.183
5.375,0.025,7.26245,21.1811
5.425,0.025,7.26248,21.1793
5.475,0.025,7.26249,21.1775
