x,y,height,momentum_x
0.025,0.025,7.30421,20.9877
0.075,0.025,7.2971,21.0275
0.125,0.025,7.2909,21.062
0.175,0.025,7.28559,21.0916
0.225,0.025,7.28108,21.1166
0.275,0.025,7.27732,21.1375
0.325,0.025,7.27424,21.1546
0.375,0.025,7.27175,21.1684
0.425,0.025,7.26979,21.1793
0.475,0.025,7.26826,21.1877
0.525,0.025,7.26711,21.1941
0.575,0.025,7.26627,21.1988
0.625,0.025,7.26567,21.2021
0.675,0.025,7.26527,21.2044
0.725,0.025,7.26502,21.2059
0.775,0.025,7.26488,21.2067
0.825,0.025,7.26482,21.207
0.875,0.025,7.26482,21.2071
0.925,0.025,7.26486,21.2069
0.975,0.025,7.26493,21.2066
1.025,0.025,7.26501,21.2062
1.075,0.025,7.2651,21.2058
1.125,0.025,7.2652,21.2054
1.175,0.025,7.26529,21.2049
1.225,0.025,7.26538,21.2045
1.275,0.025,7.26547,21.2041
1.325,0.025,7.26556,21.2037
1.375,0.025,7.26564,21.2033
1.425,0.025,7.26572,21.203
1.475,0.025,7.2658,21.2027
1.525,0.025,7.26587,21.2024
1.575,0.025,7.26593,21.2021
1.625,0.025,7.266,21.2019
1.675,0.025,7.26606,21.2017
1.725,0.025,7.26612,21.2015
1.775,0.025,7.26617,21.2013
1.825,0.025,7.26623,21.2011
1.875,0.025,7.26628,21.201
1.925,0.025,7.26632,21.2009
1.975,0.025,7.26637,21.2008
2.025,0.025,7.26641,21.2007
2.075,0.025,7.26646,21.2006
2.125,0.025,7.2665,21.2005
2.175,0.025,7.26654,21.2005
2.225,0.025,7.26658,21.2004
2.275,0.025,7.26661,21.2004
2.325,0.025,7.26665,21.2003
2.375,0.025,7.26668,21.2003
2.425,0.025,7.26672,21.2003
2.475,0.025,7.26675,21.2003
2.525,0.025,7.26678,21.2003
2.575,0.025,7.26681,21.2003
2.625,0.025,7.26684,21.2004
2.675,0.025,7.26687,21.2004
2.725,0.025,7.2669,21.2004
2.775,0.025,7.26693,21.2005
2.825,0.025,7.26696,21.2005
2.875,0.025,7.26698,21.2006
2.925,0.025,7.26701,21.2007
2.975,0.025,7.26704,21.2007
3.025,0.025,7.26706,21.2008
3.075,0.025,7.26709,21.2009
3.125,0.025,7.26712,21.201
3.175,0.025,7.26714,21.2011
3.225,0.025,7.26717,21.2012
3.275,0.025,7.26719,21.2013
3.325,0.025,7.26721,21.2014
3.375,0.025,7.26724,21.2015
3.425,0.025,7.26726,21.2016
3.475,0.025,7.26728,21.2017
3.525,0.025,7.26731,21.2018
3.575,0.025,7.26733,21.202
3.625,0.025,7.26735,21.2021
3.675,0.025,7.26737,21.2022
3.725,0.025,7.2674,21.2024
3.775,0.025,7.26742,21.2025
3.825,0.025,7.26744,21.2026
3.875,0.025,7.26746,21.2028
3.925,0.025,7.26749,21.2029
3.975,0.025,7.26751,21.2031
4.025,0.025,7.26753,21.2033
4.075,0.025,7.26755,21.2034
4.125,0.025,7.26757,21.2036
4.175,0.025,7.26759,21.2037
4.225,0.025,7.26761,21.2039
4.275,0.025,7.26763,21.2041
4.325,0.025,7.26765,21.2042
4.375,0.025,7.26767,21.2044
4.425,0.025,7.26769,21.2045
4.475,0.025,7.26771,21.2047
4.525,0.025,7.26773,21.2049
4.575,0.025,7.26775,21.205
4.625,0.025,7.26777,21.2052
4.675,0.025,7.26779,21.2053
4.725,0.025,7.26781,21.2055
4.775,0.025,7.26783,21.2057
4.825,0.025,7.26784,21.2058
4.875,0.025,7.26786,21.206
4.925,0.025,7.26788,21.2061
4.975,0.025,7.2679,21.2063
5.025,0.025,7.26791,21.2064
5.075,0.025,7.26793,21.2066
5.125,0.025,7.26795,21.2067
5.175,0.025,7.26796,21.2069
5.225,0.025,7.26798,21.207
5.275,0.025,7.26799,21.2071
5.325,0.025,7.26801,21.2073
5.375,0.025,7.26802,21.2074
5.425,0.025,7.26803,21.2075
5.475,0.025,7.26804,21.2076
5.525,0.025,7.26805,21.2077
5.575,0.025,7.26806,21.2078
5.625,0.025,7.26807,21.2079
5.675,0.025,7.26807,21.208
5.725,0.025,7.26808,21.208
5.775,0.025,7.26809,21.2081
5.825,0.025,7.26809,21.2081
5.875,0.025,7.26809,21.2082
5.925,0.025,7.2681,21.2082
5.975,0.025,7.2681,21.2082
6.025,0.025,7.2681,21.2082
6.075,0.025,7.2681,21.2082
6.125,0.025,7.2681,21.2082
6.175,0.025,7.2681,21.2082
6.225,0.025,7.2681,21.2082
6.275,0.025,7.2681,21.2082
6.325,0.025,7.26809,21.2081
6.375,0.025,7.26808,21.2081
6.425,0.025,7.26807,21.2081
6.475,0.025,7.26805,21.2082
6.525,0.025,7.26802,21.2083
6.575,0.025,7.26799,21.2084
6.625,0.025,7.26793,21.2086
6.675,0.025,7.26785,21.209
6.725,0.025,7.26775,21.2095
6.775,0.025,7.26761,21.2101
6.825,0.025,7.26744,21.211
6.875,0.025,7.26721,21.2122
6.925,0.025,7.26693,21.2136
6.975,0.025,7.2666,21.2154
7.025,0.025,7.2662,21.2175
7.075,0.025,7.26573,21.22
7.125,0.025,7.2652,21.2228
7.175,0.025,7.26462,21.2259
7.225,0.025,7.264,21.2293
7.275,0.025,7.26334,21.2328
7.325,0.025,7.26266,21.2364
7.375,0.025,7.26198,21.2401
7.425,0.025,7.26132,21.2436
7.475,0.025,7.26069,21.247
7.525,0.025,7.2601,21.2501
7.575,0.025,7.25957,21.2529
7.625,0.025,7.25911,21.2554
7.675,0.025,7.25871,21.2575
7.725,0.025,7.25838,21.2592
7.775,0.025,7.25811,21.2606
7.825,0.025,7.2579,21.2617
7.875,0.025,7.25773,21.2624
7.925,0.025,7.25761,21.263
7.975,0.025,7.25752,21.2634
8.025,0.025,7.25745,21.2636
8.075,0.025,7.25741,21.2638
8.125,0.025,7.25738,21.2638
8.175,0.025,7.25736,21.2638
8.225,0.025,7.25734,21.2638
8.275,0.025,7.25733,21.2637
8.325,0.025,7.25732,21.2637
8.375,0.025,7.25731,21.2636
8.425,0.025,7.2573,21.2635
8.475,0.025,7.2573,21.2634
8.525,0.025,7.25729,21.2633
8.575,0.025,7.25728,21.2633
8.625,0.025,7.25727,21.2632
8.675,0.025,7.25726,21.2631
8.725,0.025,7.25726,21.263
8.775,0.025,7.25725,21.2629
8.825,0.025,7.25724,21.2628
8.875,0.025,7.25723,21.2628
8.925,0.025,7.25722,21.2627
8.975,0.025,7.25721,21.2626
9.025,0.025,7.2572,21.2625
9.075,0.025,7.2572,21.2624
9.125,0.025,7.25719,21.2623
9.175,0.025,7.25718,21.2622
9.225,0.025,7.25717,21.2621
9.275,0.025,7.25716,21.262
9.325,0.025,7.25715,21.2619
9.375,0.025,7.25714,21.2618
9.425,0.025,7.25713,21.2617
9.475,0.025,7.25712,21.2616
9.525,0.025,7.25711,21.2615
9.575,0.025,7.2571,21.2614
9.625,0.025,7.25709,21.2613
9.675,0.025,7.25708,21.2612
9.725,0.025,7.25707,21.261
9.775,0.025,7.25706,21.2609
9.825,0.025,7.25705,21.2608
9.875,0.025,7.25704,21.2607
9.925,0.025,7.25703,21.2606
9.975,0.025,7.25702,21.2604
