x,y,height,momentum_x
0.025,0.025,7.27306,21.1609
0.075,0.025,7.27091,21.1728
0.125,0.025,7.26921,21.1822
0.175,0.025,7.26789,21.1895
0.225,0.025,7.2669,21.195
0.275,0.025,7.26616,21.1991
0.325,0.025,7.26564,21.202
0.375,0.025,7.26529,21.2039
0.425,0.025,7.26507,21.2052
0.475,0.025,7.26495,21.2058
0.525,0.025,7.26489,21.2061
0.575,0.025,7.26489,21.2061
0.625,0.025,7.26493,21.2059
0.675,0.025,7.26499,21.2056
0.725,0.025,7.26506,21.2052
0.775,0.025,7.26515,21.2048
0.825,0.025,7.26523,21.2043
0.875,0.025,7.26532,21.2039
0.925,0.025,7.2654,21.2034
0.975,0.025,7.26548,21.203
1.025,0.025,7.26556,21.2026
1.075,0.025,7.26564,21.2022
1.125,0.025,7.26571,21.2018
1.175,0.025,7.26577,21.2015
1.225,0.025,7.26584,21.2012
1.275,0.025,7.2659,21.2009
1.325,0.025,7.26595,21.2006
1.375,0.025,7.26601,21.2003
1.425,0.025,7.26606,21.2001
1.475,0.025,7.26611,21.1999
1.525,0.025,7.26615,21.1997
1.575,0.025,7.2662,21.1995
1.625,0.025,7.26624,21.1993
1.675,0.025,7.26628,21.1992
1.725,0.025,7.26631,21.199
1.775,0.025,7.26635,21.1989
1.825,0.025,7.26639,21.1988
1.875,0.025,7.26642,21.1987
1.925,0.025,7.26645,21.1986
1.975,0.025,7.26648,21.1985
2.025,0.025,7.26651,21.1984
2.075,0.025,7.26654,21.1984
2.125,0.025,7.26657,21.1983
2.175,0.025,7.26659,21.1982
2.225,0.025,7.26662,21.1982
2.275,0.025,7.26665,21.1982
2.325,0.025,7.26667,21.1982
2.375,0.025,7.2667,21.1981
2.425,0.025,7.26672,21.1981
2.475,0.025,7.26674,21.1981
2.525,0.025,7.26676,21.1981
2.575,0.025,7.26679,21.1982
2.625,0.025,7.26681,21.1982
2.675,0.025,7.26683,21.1982
2.725,0.025,7.26685,21.1982
2.775,0.025,7.26687,21.1983
2.825,0.025,7.26689,21.1983
2.875,0.025,7.26691,21.1983
2.925,0.025,7.26693,21.1984
2.975,0.025,7.26695,21.1984
3.025,0.025,7.26697,21.1985
3.075,0.025,7.26699,21.1986
3.125,0.025,7.26701,21.1986
3.175,0.025,7.26703,21.1987
3.225,0.025,7.26705,21.1988
3.275,0.025,7.26707,21.1989
3.325,0.025,7.26709,21.199
3.375,0.025,7.26711,21.1991
3.425,0.025,7.26713,21.1992
3.475,0.025,7.26714,21.1993
3.525,0.025,7.26716,21.1994
3.575,0.025,7.26718,21.1995
3.625,0.025,7.2672,21.1996
3.675,0.025,7.26721,21.1997
3.725,0.025,7.26723,21.1998
3.775,0.025,7.26725,21.2
3.825,0.025,7.26726,21.2001
3.875,0.025,7.26728,21.2002
3.925,0.025,7.2673,21.2004
3.975,0.025,7.26732,21.2005
4.025,0.025,7.26733,21.2006
4.075,0.025,7.26735,21.2008
4.125,0.025,7.26737,21.2009
4.175,0.025,7.26739,21.2011
4.225,0.025,7.26741,21.2012
4.275,0.025,7.26743,21.2013
4.325,0.025,7.26745,21.2015
4.375,0.025,7.26746,21.2016
4.425,0.025,7.26748,21.2018
4.475,0.025,7.2675,21.202
4.525,0.025,7.26752,21.2021
4.575,0.025,7.26754,21.2023
4.625,0.025,7.26756,21.2024
4.675,0.025,7.26758,21.2026
4.725,0.025,7.2676,21.2028
4.775,0.025,7.26761,21.203
4.825,0.025,7.26763,21.2031
4.875,0.025,7.26765,21.2033
4.925,0.025,7.26767,21.2035
4.975,0.025,7.26768,21.2036
5.025,0.025,7.2677,21.2038
5.075,0.025,7.26772,21.204
5.125,0.025,7.26773,21.2042
5.175,0.025,7.26775,21.2044
5.225,0.025,7.26777,21.2045
5.275,0.025,7.26778,21.2047
5.325,0.025,7.2678,21.2049
5.375,0.025,7.26782,21.2051
5.425,0.025,7.26783,21.2052
5.475,0.025,7.26785,21.2054
5.525,0.025,7.26786,21.2056
5.575,0.025,7.26788,21.2058
5.625,0.025,7.2679,21.2059
5.675,0.025,7.26791,21.2061
5.725,0.025,7.26793,21.2063
5.775,0.025,7.26794,21.2064
5.825,0.025,7.26795,21.2066
5.875,0.025,7.26797,21.2067
5.925,0.025,7.26798,21.2069
5.975,0.025,7.26798,21.2071
