x,y,height,momentum_x
0.025,0.025,7.38236,20.5461
0.075,0.025,7.36762,20.6303
0.125,0.025,7.35395,20.7081
0.175,0.025,7.34137,20.7794
0.225,0.025,7.3299,20.8442
0.275,0.025,7.31953,20.9026
0.325,0.025,7.31027,20.9546
0.375,0.025,7.30209,21.0004
0.425,0.025,7.29495,21.0403
0.475,0.025,7.28881,21.0746
0.525,0.025,7.2836,21.1036
0.575,0.025,7.27925,21.1279
0.625,0.025,7.27567,21.1478
0.675,0.025,7.27279,21.1638
0.725,0.025,7.27051,21.1765
0.775,0.025,7.26876,21.1864
0.825,0.025,7.26743,21.1938
0.875,0.025,7.26646,21.1993
0.925,0.025,7.26578,21.2031
0.975,0.025,7.26532,21.2058
1.025,0.025,7.26503,21.2075
1.075,0.025,7.26488,21.2085
1.125,0.025,7.26481,21.209
1.175,0.025,7.26482,21.2091
1.225,0.025,7.26487,21.209
1.275,0.025,7.26494,21.2087
1.325,0.025,7.26504,21.2083
1.375,0.025,7.26514,21.2079
1.425,0.025,7.26525,21.2075
1.475,0.025,7.26535,21.207
1.525,0.025,7.26546,21.2066
1.575,0.025,7.26556,21.2062
1.625,0.025,7.26565,21.2059
1.675,0.025,7.26574,21.2055
1.725,0.025,7.26583,21.2052
1.775,0.025,7.26592,21.205
1.825,0.025,7.26599,21.2047
1.875,0.025,7.26607,21.2045
1.925,0.025,7.26614,21.2043
1.975,0.025,7.26621,21.2041
2.025,0.025,7.26627,21.204
2.075,0.025,7.26634,21.2038
2.125,0.025,7.26639,21.2037
2.175,0.025,7.26645,21.2036
2.225,0.025,7.26651,21.2035
2.275,0.025,7.26656,21.2034
2.325,0.025,7.26661,21.2034
2.375,0.025,7.26666,21.2033
2.425,0.025,7.26671,21.2033
2.475,0.025,7.26675,21.2033
2.525,0.025,7.26679,21.2033
2.575,0.025,7.26684,21.2033
2.625,0.025,7.26688,21.2033
2.675,0.025,7.26692,21.2033
2.725,0.025,7.26696,21.2034
2.775,0.025,7.26699,21.2034
2.825,0.025,7.26703,21.2034
2.875,0.025,7.26707,21.2035
2.925,0.025,7.2671,21.2036
2.975,0.025,7.26714,21.2036
3.025,0.025,7.26717,21.2037
3.075,0.025,7.2672,21.2038
3.125,0.025,7.26723,21.2039
3.175,0.025,7.26726,21.204
3.225,0.025,7.26729,21.2041
3.275,0.025,7.26732,21.2042
3.325,0.025,7.26735,21.2043
3.375,0.025,7.26738,21.2044
3.425,0.025,7.26741,21.2045
