x,y,height,momentum_x
0.025,0.025,7.72127,18.512
0.075,0.025,7.69234,18.6936
0.125,0.025,7.66393,18.8707
0.175,0.025,7.63609,19.0429
0.225,0.025,7.60886,19.21
0.275,0.025,7.58231,19.3718
0.325,0.025,7.55648,19.528
0.375,0.025,7.53143,19.6784
0.425,0.025,7.50724,19.8227
0.475,0.025,7.48396,19.9606
0.525,0.025,7.46167,20.0918
0.575,0.025,7.44043,20.2161
0.625,0.025,7.42031,20.3331
0.675,0.025,7.40137,20.4425
0.725,0.025,7.38368,20.5443
0.775,0.025,7.36728,20.6381
0.825,0.025,7.35222,20.7239
0.875,0.025,7.33853,20.8016
0.925,0.025,7.32621,20.8713
0.975,0.025,7.31527,20.9329
1.025,0.025,7.30567,20.9869
1.075,0.025,7.29737,21.0335
1.125,0.025,7.29031,21.073
1.175,0.025,7.2844,21.1061
1.225,0.025,7.27955,21.1333
1.275,0.025,7.27564,21.1552
1.325,0.025,7.27256,21.1725
1.375,0.025,7.27019,21.1858
1.425,0.025,7.26842,21.1959
1.475,0.025,7.26714,21.2032
1.525,0.025,7.26625,21.2084
1.575,0.025,7.26566,21.2119
1.625,0.025,7.2653,21.2142
1.675,0.025,7.26511,21.2155
1.725,0.025,7.26504,21.2162
1.775,0.025,7.26505,21.2164
1.825,0.025,7.26512,21.2163
1.875,0.025,7.26522,21.216
1.925,0.025,7.26533,21.2156
1.975,0.025,7.26546,21.2152
2.025,0.025,7.26559,21.2147
2.075,0.025,7.26572,21.2143
2.125,0.025,7.26584,21.2139
2.175,0.025,7.26596,21.2135
2.225,0.025,7.26608,21.2132
2.275,0.025,7.26618,21.2128
2.325,0.025,7.26628,21.2126
2.375,0.025,7.26638,21.2123
2.425,0.025,7.26647,21.2121
2.475,0.025,7.26656,21.2119
2.525,0.025,7.26664,21.2117
2.575,0.025,7.26672,21.2115
2.625,0.025,7.26679,21.2114
2.675,0.025,7.26686,21.2113
2.725,0.025,7.26693,21.2112
2.775,0.025,7.267,21.2111
