x,y,height,momentum_x
0.025,0.025,9.67662,3.12106
0.075,0.025,9.63787,3.48485
0.125,0.025,9.59733,3.86298
0.175,0.025,9.55515,4.25373
0.225,0.025,9.51147,4.65544
0.275,0.025,9.46643,5.06648
0.325,0.025,9.42019,5.48537
0.375,0.025,9.37285,5.91069
0.425,0.025,9.32455,6.34113
0.475,0.025,9.27539,6.77549
0.525,0.025,9.22547,7.21266
0.575,0.025,9.1749,7.65165
0.625,0.025,9.12376,8.09154
0.675,0.025,9.07213,8.53151
0.725,0.025,9.02008,8.97081
0.775,0.025,8.96768,9.40876
0.825,0.025,8.915,9.84474
0.875,0.025,8.86209,10.2782
0.925,0.025,8.80901,10.7086
0.975,0.025,8.75581,11.1356
1.025,0.025,8.70253,11.5586
1.075,0.025,8.64923,11.9774
1.125,0.025,8.59594,12.3914
1.175,0.025,8.54271,12.8005
1.225,0.025,8.48958,13.2042
1.275,0.025,8.4366,13.6024
1.325,0.025,8.3838,13.9946
1.375,0.025,8.33123,14.3806
1.425,0.025,8.27893,14.7602
1.475,0.025,8.22696,15.133
1.525,0.025,8.17535,15.4988
1.575,0.025,8.12417,15.8573
1.625,0.025,8.07347,16.2081
1.675,0.025,8.02332,16.551
1.725,0.025,7.97378,16.8856
1.775,0.025,7.92494,17.2115
1.825,0.025,7.87687,17.5284
1.875,0.025,7.82968,17.8357
1.925,0.025,7.78346,18.1331
1.975,0.025,7.73835,18.4199
2.025,0.025,7.69445,18.6957
2.075,0.025,7.65193,18.9598
2.125,0.025,7.61092,19.2115
2.175,0.025,7.57161,19.4502
2.225,0.025,7.53415,19.6751
2.275,0.025,7.49875,19.8856
2.325,0.025,7.46558,20.0808
2.375,0.025,7.43481,20.2602
2.425,0.025,7.40662,20.4232
2.475,0.025,7.38113,20.5693
2.525,0.025,7.35845,20.6984
2.575,0.025,7.33862,20.8106
2.625,0.025,7.32162,20.9062
2.675,0.025,7.30738,20.9858
2.725,0.025,7.29574,21.0507
2.775,0.025,7.28649,21.102
2.825,0.025,7.27936,21.1415
2.875,0.025,7.27405,21.1707
2.925,0.025,7.27025,21.1916
2.975,0.025,7.26765,21.2059
3.025,0.025,7.26596,21.2151
3.075,0.025,7.26495,21.2205
3.125,0.025,7.2644,21.2234
3.175,0.025,7.26417,21.2245
3.225,0.025,7.26414,21.2246
3.275,0.025,7.26422,21.224
3.325,0.025,7.26437,21.223
3.375,0.025,7.26454,21.2219
3.425,0.025,7.26472,21.2208
3.475,0.025,7.26489,21.2197
3.525,0.025,7.26506,21.2186
3.575,0.025,7.26521,21.2176
3.625,0.025,7.26535,21.2167
3.675,0.025,7.26548,21.2158
3.725,0.025,7.2656,21.215
3.775,0.025,7.26571,21.2143
3.825,0.025,7.26582,21.2135
3.875,0.025,7.26591,21.2128
3.925,0.025,7.266,21.2122
3.975,0.025,7.26608,21.2116
4.025,0.025,7.26615,21.211
