x,y,height,momentum_x
0.025,0.025,9.97314,0.265443
0.075,0.025,9.96385,0.356953
0.125,0.025,9.95229,0.470677
0.175,0.025,9.9382,0.609069
0.225,0.025,9.92134,0.774125
0.275,0.025,9.90156,0.967303
0.325,0.025,9.87874,1.18946
0.375,0.025,9.85283,1.44079
0.425,0.025,9.82381,1.72088
0.475,0.025,9.79177,2.0288
0.525,0.025,9.75679,2.36311
0.575,0.025,9.71902,2.72205
0.625,0.025,9.67863,3.10357
0.675,0.025,9.63578,3.50548
0.725,0.025,9.59068,3.92549
0.775,0.025,9.54353,4.36134
0.825,0.025,9.49451,4.8108
0.875,0.025,9.44382,5.27172
0.925,0.025,9.39164,5.7421
0.975,0.025,9.33814,6.22007
1.025,0.025,9.28347,6.70388
1.075,0.025,9.22779,7.19195
1.125,0.025,9.17122,7.68282
1.175,0.025,9.11389,8.17518
1.225,0.025,9.05593,8.66786
1.275,0.025,8.99742,9.15978
1.325,0.025,8.93847,9.64999
1.375,0.025,8.87918,10.1376
1.425,0.025,8.81961,10.6219
1.475,0.025,8.75985,11.1021
1.525,0.025,8.69997,11.5775
1.575,0.025,8.64004,12.0476
1.625,0.025,8.58012,12.5119
1.675,0.025,8.52029,12.9698
1.725,0.025,8.4606,13.4209
1.775,0.025,8.40112,13.8646
1.825,0.025,8.34192,14.3007
1.875,0.025,8.28306,14.7285
1.925,0.025,8.2246,15.1478
1.975,0.025,8.16664,15.5581
2.025,0.025,8.10924,15.9589
2.075,0.025,8.05251,16.3498
2.125,0.025,7.99652,16.7302
2.175,0.025,7.9414,17.0998
2.225,0.025,7.88726,17.4578
2.275,0.025,7.83424,17.8038
2.325,0.025,7.78247,18.1369
2.375,0.025,7.73214,18.4566
2.425,0.025,7.68342,18.7619
2.475,0.025,7.6365,19.0522
2.525,0.025,7.59162,19.3263
2.575,0.025,7.54899,19.5836
2.625,0.025,7.50887,19.8229
2.675,0.025,7.47148,20.0434
2.725,0.025,7.43707,20.2443
2.775,0.025,7.40583,20.4249
2.825,0.025,7.37794,20.5847
2.875,0.025,7.35351,20.7236
2.925,0.025,7.33255,20.8419
