x,y,height,momentum_x
0.025,0.025,7.98233,16.8137
0.075,0.025,7.94799,17.0442
0.125,0.025,7.91396,17.2707
0.175,0.025,7.88027,17.4931
0.225,0.025,7.84695,17.7111
0.275,0.025,7.81403,17.9247
0.325,0.025,7.78156,18.1336
0.375,0.025,7.74956,18.3378
0.425,0.025,7.71809,18.5369
0.475,0.025,7.68719,18.7307
0.525,0.025,7.65691,18.9191
0.575,0.025,7.62732,19.1018
0.625,0.025,7.59847,19.2785
0.675,0.025,7.57042,19.4488
0.725,0.025,7.54326,19.6126
0.775,0.025,7.51705,19.7694
0.825,0.025,7.49187,19.919
0.875,0.025,7.4678,20.061
0.925,0.025,7.44492,20.195
0.975,0.025,7.42331,20.3208
1.025,0.025,7.40305,20.4381
1.075,0.025,7.3842,20.5466
1.125,0.025,7.36683,20.646
1.175,0.025,7.35098,20.7364
1.225,0.025,7.33667,20.8175
1.275,0.025,7.32391,20.8896
1.325,0.025,7.3127,20.9528
1.375,0.025,7.30298,21.0075
1.425,0.025,7.2947,21.0539
1.475,0.025,7.28776,21.0928
1.525,0.025,7.28206,21.1248
1.575,0.025,7.27748,21.1505
1.625,0.025,7.27387,21.1707
1.675,0.025,7.27111,21.1863
1.725,0.025,7.26906,21.1979
1.775,0.025,7.26758,21.2064
1.825,0.025,7.26656,21.2123
1.875,0.025,7.26589,21.2162
1.925,0.025,7.26549,21.2187
1.975,0.025,7.26528,21.2202
2.025,0.025,7.2652,21.2208
2.075,0.025,7.26522,21.221
2.125,0.025,7.2653,21.2208
2.175,0.025,7.26541,21.2205
2.225,0.025,7.26553,21.22
2.275,0.025,7.26567,21.2195
2.325,0.025,7.26581,21.219
2.375,0.025,7.26594,21.2185
2.425,0.025,7.26607,21.218
2.475,0.025,7.26619,21.2175
2.525,0.025,7.26631,21.2171
2.575,0.025,7.26641,21.2167
2.625,0.025,7.26651,21.2163
2.675,0.025,7.26661,21.2159
2.725,0.025,7.26669,21.2156
2.775,0.025,7.26677,21.2153
2.825,0.025,7.26685,21.215
2.875,0.025,7.26692,21.2147
2.925,0.025,7.26699,21.2144
2.975,0.025,7.26705,21.2141
3.025,0.025,7.2671,21.2138
3.075,0.025,7.26716,21.2136
3.125,0.025,7.26721,21.2133
3.175,0.025,7.26725,21.2131
3.225,0.025,7.2673,21.2128
3.275,0.025,7.26734,21.2126
3.325,0.025,7.26737,21.2124
3.375,0.025,7.26741,21.2121
3.425,0.025,7.26744,21.2119
3.475,0.025,7.26747,21.2117
3.525,0.025,7.26749,21.2115
3.575,0.025,7.26752,21.2113
3.625,0.025,7.26754,21.2111
3.675,0.025,7.26756,21.2109
3.725,0.025,7.26758,21.2107
3.775,0.025,7.2676,21.2105
3.825,0.025,7.26762,21.2103
3.875,0.025,7.26764,21.2102
3.925,0.025,7.26765,21.21
3.975,0.025,7.26767,21.2098
4.025,0.025,7.26768,21.2096
4.075,0.025,7.26769,21.2095
4.125,0.025,7.2677,21.2093
4.175,0.025,7.26772,21.2092
4.225,0.025,7.26773,21.209
4.275,0.025,7.26773,21.2089
4.325,0.025,7.26774,21.2087
4.375,0.025,7.26775,21.2086
4.425,0.025,7.26776,21.2085
4.475,0.025,7.26776,21.2083
4.525,0.025,7.26777,21.2082
4.575,0.025,7.26777,21.2081
4.625,0.025,7.26778,21.2079
4.675,0.025,7.26778,21.2078
4.725,0.025,7.26779,21.2077
4.775,0.025,7.26779,21.2076
4.825,0.025,7.26779,21.2075
4.875,0.025,7.2678,21.2073
4.925,0.025,7.2678,21.2072
4.975,0.025,7.2678,21.2071
5.025,0.025,7.2678,21.207
5.075,0.025,7.2678,21.2069
5.125,0.025,7.2678,21.2067
5.175,0.025,7.2678,21.2066
5.225,0.025,7.2678,21.2065
5.275,0.025,7.2678,21.2064
5.325,0.025,7.2678,21.2063
5.375,0.025,7.2678,21.2062
5.425,0.025,7.26779,21.2061
5.475,0.025,7.26779,21.206
5.525,0.025,7.26779,21.2059
5.575,0.025,7.26778,21.2058
5.625,0.025,7.26778,21.2057
5.675,0.025,7.26778,21.2055
5.725,0.025,7.26777,21.2054
5.775,0.025,7.26777,21.2053
5.825,0.025,7.26776,21.2052
5.875,0.025,7.26776,21.2051
5.925,0.025,7.26776,21.205
5.975,0.025,7.26775,21.2049
6.025,0.025,7.26775,21.2048
6.075,0.025,7.26774,21.2047
6.125,0.025,7.26774,21.2045
6.175,0.025,7.26774,21.2044
6.225,0.025,7.26773,21.2043
6.275,0.025,7.26772,21.2042
6.325,0.025,7.26772,21.2041
6.375,0.025,7.26771,21.204
6.425,0.025,7.2677,21.2039
6.475,0.025,7.26769,21.2037
